Species,CommonName,Species.CommonName,Color
Unknown Pungitius (Genus),Sticklebacks,Pungitius (Sticklebacks),#A2D77E
Fistularia tabacaria,Bluespotted cornetfish,Fistularia tabacaria (Blue-spotted cornetfish),#FD8007
Ophidion marginatum,Striped cusk-eel,Ophidion marginatum (Striped cusk-eel),#6ABB54
Ammodytes tobianus,Lesser sand eel,Ammodytes tobianus (Lesser sand eel),#6AA7CE
Lucania parva,Rainwater killifish,Lucania parva (Rainwater killifish),#F16969
Anchoa compressa,Anchovies,Engraulidae (Anchovies),linen
Auxis rochei,Bullet tuna,Auxis rochei (Bullet tuna),#7CB3D4
Unknown Scomber (Genus),Mackerels,Scomber (Mackerels),#F48753
Myoxocephalus scorpius,Shorthorn sculpin,Myoxocephalus scorpius (Shorthorn sculpin),#42A737
Unknown Lutjanus (Genus),Snappers,Lutjanus (Snappers),#7449A0
Unknown Phycidae (Family),Phycid hakes,Phycidae (Phycid hakes),#75C05D
Unknown Atherinopsidae (Family),Neotropical silversides,Atherinopsidae (Neotropical silversides),#D2A9B2
Hippocampus erectus,Lined seahorse,Hippocampus erectus (Lined seahorse),#A3D48E
Unknown Chilomycterus (Genus),Burrfish,Chilomycterus (Burrfish),#FDA13B
Unknown Carangidae (Family),Jacks and pompanos,Carangidae (Jacks and pompanos),#6FBE58
Dicentrarchus labrax,European sea bass,Dicentrarchus labrax (European sea bass),#EE6340
Oncorhynchus nerka,Sockeye salmon,Oncorhynchus nerka (Sockeye salmon),#AAD98C
Oreochromis niloticus,Nile tilapia,Oreochromis niloticus (Nile tilapia),#C3B199
Myrophis punctatus,Speckled worm eel,Myrophis punctatus (Speckled worm eel),#C0A6D0
Gobio gobio,Gudgeon,Gobio gobio (Gudgeon),#7C53A5
Unknown Icosteidae (Family),Scombriformes,Scombriformes,gold3
Sardinella brasiliensis,Brazilian sardinella,Sardinella brasiliensis (Brazilian sardinella),#5CA2A2
Unknown Opsanus (Genus),Toadfishes,Opsanus (Toadfishes),#DC9A88
Unknown Stenotomus (Genus),Stenotomus,Stenotomus,#A282BD
Unknown Gempylidae (Family),Escolars,Gempylidae (Escolars),#70ABD0
Unknown Leuciscidae (Family),Minnows,Leuciscidae (Minnows),#FE9B32
Unknown Fistularia (Genus),Cornetfish,Fistularia (Cornetfish),#59B248
Unknown Atheriniformes (Order),Silversides,Atheriniformes (Silversides),#408DBF
Unknown Clupeidae (Family),Clupeidae,Clupeidae,#8E6D99
Unknown Perciformes (Order),Perciformes,Perciformes,#9A78B8
Unknown Fundulidae (Family),Topminnows and killifishes,Fundulidae (Topminnows and killifishes),#5EB54C
Unknown Lutjanidae (Family),Snappers,Lutjanidae (Snappers),#7449A0
Unknown Labridae (Family),Wrasses,Labridae (Wrasses),#F1ED99
Ophichthus gomesii,Shrimp eel,Ophichthus gomesii (Shrimp eel),#855EAA
Zebrasoma velifer,Sailfin tang,Zebrasoma velifer (Sailfin tang),#FDBB68
Centropyge interrupta,Japanese angelfish,Centropyge interrupta (Japanese angelfish),#E94532
Coris gaimard,Yellowtail coris,Coris gaimard (Yellowtail coris),#F79D5E
Pterapogon kauderni,Banggai cardinalfish,Pterapogon kauderni (Banggai cardinalfish),#4290A9
Forcipiger flavissimus,Forceps fish,Forcipiger flavissimus (Forceps fish),#DCA08C
Unknown Xanthichthys (Genus),Triggerfishes,Xanthichthys (Triggerfishes),#C4ABD2
Tursiops truncatus,Common bottlenose dolphin,Tursiops truncatus (Common bottlenose dolphin),#FE8D19
Pseudopleuronectes yokohamae,Marbled flounder,Pseudopleuronectes yokohamae (Marbled flounder),#784EA3
Unknown Syngnathiformes (Order),Pipefishes and seahorses,Syngnathiformes (Pipefishes and seahorses),#F67F7F
Unknown Delphinidae (Family),Oceanic dolphins,Delphinidae (Oceanic dolphins),#F8851A
Selar crumenophthalmus,Bigeye scad,Selar crumenophthalmus (Bigeye scad),#8058A8
Lindbergichthys nudifrons,Yellowfin notie,Lindbergichthys nudifrons (Yellowfin notie),#E09B79
Unknown Chaetodontidae (Family),Butterflyfish,Chaetodontidae (Butterflyfish),#FE8205
Unknown Chromis (Genus),Damselfish,Chromis (Damselfish),#4F99A6
Stephanolepis hispida,Planehead filefish,Stephanolepis hispida (Planehead filefish),#EA9253
Unknown Thunnus (Genus),Tunas,Thunnus (Tunas),#6B3F9B
Unknown Sphyraena (Genus),Barracudas,Sphyraena (Barracudas),#D5A7A8
Eucinostomus sp_ RA02,Eucinostomus,Eucinostomus,#76B59B
Unknown Sphoeroides (Genus),Pufferfishes,Sphoeroides (Pufferfishes),#FAAC65
Unknown Leiostomus (Genus),Spot croaker,Leiostomus (Spot croaker),#E83E2E
Unknown Sciaenidae__o (Order),Drums,Sciaenidae (Drums),#F3804F
Unknown Mugiliformes (Order),Mugiliformes,Mugiliformes,#F06363
Unknown Tetraodontiformes (Order),Tetraodontiformes,Tetraodontiformes,#FDAF54
Pungitius sp_ Freshwater type,Sticklebacks,Pungitius (Sticklebacks),#A2D77E
Unknown Squalus (Genus),Spurdogs,Squalus sp. (Spurdogs),#F18C36
Unknown Characiformes (Order),Characiformes,Characiformes,#B99B75
